0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone_pop,Black-alone_pop,Native_American-American_Indian-alone_pop,Asian-alone_pop,Hawaiian-Pacific_Islander-alone_pop,Two_or_more_races_pop,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_death_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less_than_a_high_school_diploma_2014-18,High_school_diploma_only_2014-18,Some_college_or_associate's_degree_2014-18,Bachelor's_degree_or_higher_2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active_Physicians_per_100000_Population_2018_(AAMC),Total_Active_Patient_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Patient_Care_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_General_Surgeons_per_100000_Population_2018_(AAMC),Active_Patient_Care_General_Surgeons_per_100000_Population_2018_(AAMC),Total_nurse_practitioners_(2019),Total_physician_assistants_(2019),Total_Hospitals_(2019),Internal_Medicine_Primary_Care_(2019),Family_Medicine-General_Practice_Primary_Care_(2019),Total_Specialist_Physicians_(2019),ICU_Beds_x,Total_Population,Population_Aged_60+,COUNTY_NAME,STATE_NAME,STATE_FIPS,county_pop2018_18_and_older,anycondition_prevalence,Obesity_prevalence,Obesity_number,Heart_disease_prevalence,Heart_disease_number,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_prevalence,CKD_number,Urban_rural_code
3826.0,3957.0,3295.0,3331.0,3147.0,3314.0,3008.0,1980.0,1029.0,18841.0,7134.0,225.0,225.0,37.0,425.0,26887.0,-9.0,326.0,12.3,-0.1,-1.5,-1.6,3362.0,6784.0,4696.0,2790.0,6615.0,24.9,40.6,39.8,37148.0,33818.0,40478.0,11945.0,11251.0,694.0,5.8,37148.0,63.4,228.7,202.9,79.1,71.9,7.0,6.1,12.30678385,8.50356591,0.370609275,12.72339979,8.718263697,32.6851821,8.0,27160.0,5815.0,430.0,10.0,13.0,19774.0,49.4,36.2,7158.0,9.1,1790.0,10.7,2122.0,16.0,3171.0,3.9,781.0,5.0
1920.0,1863.0,1609.0,1389.0,1370.0,1634.0,1659.0,1033.0,556.0,10247.0,2173.0,125.0,125.0,22.0,341.0,13033.0,159.0,65.0,9.6,2.5,6.0,8.5,1290.0,2981.0,2524.0,1550.0,2431.0,18.8,30.5,30.1,43714.0,39025.0,48403.0,4990.0,4745.0,245.0,4.9,43714.0,72.1,224.8,199.9,72.9,66.5,6.2,5.4,4.495414842,2.653202921,0.237485047,4.931333857,4.364639137,15.39248205,0.0,12670.0,3038.0,1522.0,43.0,48.0,9570.0,52.1,38.9,3723.0,9.4,903.0,9.2,880.0,15.5,1479.0,3.8,366.0,6.0
553.0,498.0,407.0,403.0,360.0,451.0,463.0,308.0,210.0,3266.0,225.0,50.0,11.0,2.0,99.0,3653.0,-30.0,99.0,13.1,1.1,-6.3,-5.2,464.0,771.0,675.0,467.0,723.0,20.4,31.5,30.4,39726.0,35423.0,44029.0,1466.0,1413.0,53.0,3.6,39726.0,65.5,224.8,199.9,72.9,66.5,6.2,5.4,1.260013076,0.743662263,0.066564327,1.382196162,1.22335815,4.314335681,0.0,3753.0,948.0,509.0,43.0,48.0,2688.0,47.1,35.4,952.0,9.7,260.0,9.1,245.0,15.1,405.0,3.9,104.0,6.0
10172.0,11310.0,15409.0,11251.0,10663.0,11044.0,11359.0,7716.0,4300.0,85022.0,4581.0,204.0,1234.0,25.0,2158.0,93224.0,-1262.0,3934.0,12.7,0.1,-11.8,-11.7,7599.0,21011.0,18606.0,16322.0,17242.0,19.3,23.1,22.8,39790.0,36807.0,42773.0,41287.0,39332.0,1955.0,4.7,39790.0,90.4,263.4,231.6,100.1,89.4,10.5,9.2,48.62966655,34.48473169,2.890935591,50.38487744,64.06519765,144.7016511,88.0,96100.0,22787.0,1781.0,48.0,54.0,74829.0,54.0,38.0,28435.0,9.8,7342.0,12.0,8960.0,13.8,10298.0,3.4,2530.0,3.0
854.0,1142.0,1377.0,1146.0,1321.0,1022.0,911.0,615.0,344.0,7325.0,1179.0,71.0,26.0,10.0,121.0,8732.0,109.0,1481.0,9.1,11.8,2.5,14.3,1467.0,2507.0,1203.0,969.0,1521.0,21.0,26.1,22.3,42689.0,37973.0,47405.0,2847.0,2756.0,91.0,3.2,42689.0,77.0,265.2,240.7,86.8,80.1,6.9,6.0,5.067180298,2.497923103,0.088962631,4.753556275,3.39451884,11.93124176,0.0,8684.0,1667.0,137.0,9.0,12.0,6961.0,49.3,36.7,2555.0,9.9,690.0,11.6,810.0,13.8,959.0,3.7,254.0,6.0
2878.0,3034.0,2326.0,2823.0,2739.0,3680.0,3448.0,1867.0,976.0,23007.0,193.0,56.0,211.0,11.0,293.0,23771.0,57.0,180.0,8.3,0.5,-1.3,-0.8,839.0,5800.0,5863.0,4022.0,1933.0,8.2,10.0,8.9,68017.0,64243.0,71791.0,13933.0,13570.0,363.0,2.6,68017.0,111.9,264.9,238.3,94.6,86.4,7.9,7.1,12.43429354,7.523544921,0.543821454,12.47927125,13.39518107,37.60545796,0.0,23576.0,5649.0,597.0,49.0,55.0,18326.0,43.7,35.4,6487.0,7.1,1293.0,6.7,1220.0,9.8,1793.0,2.9,538.0,3.0
13850.0,16480.0,15923.0,14081.0,14123.0,18031.0,17866.0,10728.0,6857.0,119804.0,3532.0,912.0,871.0,67.0,2753.0,127939.0,-670.0,6071.0,11.0,2.6,-6.8,-4.2,9985.0,32222.0,28129.0,19522.0,22426.0,18.3,27.0,24.7,45689.0,43556.0,47822.0,54993.0,52227.0,2766.0,5.0,45689.0,67.5,375.1,304.1,112.9,94.8,10.2,7.4,82.56173747,58.22072249,1.086769362,135.6497661,42.42328592,320.1910599,26.0,130846.0,33458.0,630.0,32.0,36.0,101942.0,46.5,34.4,35068.0,8.8,9013.0,10.1,10253.0,12.4,12684.0,3.5,3571.0,5.0
13688.0,15778.0,15629.0,14788.0,16566.0,19127.0,17668.0,12167.0,5938.0,123234.0,3999.0,553.0,1230.0,98.0,2235.0,131349.0,1449.0,2084.0,10.4,0.7,11.5,12.2,9996.0,31875.0,27833.0,22022.0,12816.0,9.9,13.5,12.8,57939.0,54424.0,61454.0,62275.0,60266.0,2009.0,3.2,57939.0,110.6,253.1,225.8,85.1,77.8,8.1,7.4,111.5203747,23.12670262,2.231183558,69.59352542,48.23236805,196.014326,16.0,127135.0,32770.0,4.0,42.0,47.0,104790.0,48.8,37.2,38982.0,8.6,9041.0,10.1,10575.0,12.5,13065.0,3.2,3383.0,3.0
4915.0,5739.0,4922.0,5299.0,5400.0,6548.0,6375.0,3729.0,2386.0,43991.0,445.0,168.0,175.0,15.0,519.0,45313.0,-202.0,863.0,12.6,0.1,-2.1,-2.0,2902.0,12488.0,10691.0,6262.0,5740.0,12.9,19.3,17.7,53409.0,48576.0,58242.0,23066.0,21934.0,1132.0,4.9,53409.0,82.1,284.4,240.5,99.6,87.2,7.0,5.8,17.65065591,8.862670668,0.665055945,34.32328837,21.53074166,76.05110336,0.0,45960.0,12200.0,515.0,13.0,17.0,35669.0,45.1,33.2,11842.0,8.2,2923.0,9.4,3341.0,11.3,4045.0,3.3,1160.0,2.0
662.0,600.0,570.0,445.0,499.0,612.0,551.0,409.0,251.0,4514.0,6.0,15.0,14.0,0.0,50.0,4599.0,85.0,47.0,9.0,0.7,11.0,11.6,425.0,1386.0,801.0,342.0,764.0,16.9,27.3,28.1,39463.0,35407.0,43519.0,1977.0,1895.0,82.0,4.1,39463.0,72.5,273.1,236.3,86.6,79.0,7.0,6.3,2.565070778,0.499201659,0.091582861,2.860838378,2.053858253,8.156129355,0.0,4450.0,1136.0,527.0,25.0,29.0,3443.0,49.3,37.2,1281.0,9.7,334.0,11.3,391.0,13.2,453.0,3.6,122.0,5.0
